team_id	team_name	team_minutes	team_fgm	team_fga	team_fgpct	team_three_fgm	team_three_fga	team_three_fgpct	team_ft	team_fta	team_ftpct	team_pts	team_ptsavg	team_offreb	team_defreb	team_totreb	team_rebavg	team_ast	team_to	team_stl	team_blk	team_fouls	team_dbldbl	team_trpdbl	opp_team_minutes	opp_team_fgm	opp_team_fga	opp_team_fgpct	opp_team_three_fgm	opp_team_three_fga	opp_team_three_fgpct	opp_team_ft	opp_team_fta	opp_team_ftpct	opp_team_pts	opp_team_ptsavg	opp_team_offreb	opp_team_defreb	opp_team_totreb	opp_team_rebavg	opp_team_ast	opp_team_to	opp_team_stl	opp_team_blk	opp_team_fouls	opp_team_dbldbl	opp_team_trpdbl
771	Western Ill.	31	6223:59	818	1,860	43.98	241	626	38.50	321	440	72.95	2,198	70.90	256	844	1,100	35.48	319	354	165	132	487	5	31	6225:59	828	1,872	44.23	276	717	38.49	340	504	67.46	2,272	73.29	287	862	1,149	37.06	385	331	181	89	468	5
234	Florida St.	34	6899:59	879	1,984	44.30	255	760	33.55	534	721	74.06	2,547	74.91	389	882	1,271	37.38	438	459	237	145	651	9	34	6906:43	774	1,891	40.93	239	734	32.56	495	683	72.47	2,282	67.12	325	787	1,112	32.71	342	486	187	102	631	9
772	Western Ky.	34	6899:59	853	1,910	44.66	199	608	32.73	524	724	72.38	2,429	71.44	345	910	1,255	36.91	417	466	235	174	529	5	34	6896:49	855	2,040	41.91	287	832	34.50	358	522	68.58	2,355	69.26	355	821	1,176	34.59	445	440	201	125	617	5
774	Western Mich.	32	6499:59	774	1,822	42.48	228	723	31.54	470	680	69.12	2,246	70.19	345	852	1,197	37.41	374	490	147	78	564	9	32	6499:59	878	1,964	44.70	278	759	36.63	405	581	69.71	2,439	76.22	322	807	1,129	35.28	444	353	253	108	593	9
460	UNCW	33	6674:59	880	1,986	44.31	260	744	34.95	493	673	73.25	2,515	76.21	393	829	1,222	37.03	495	437	150	68	585	18	33	6675:00	938	1,984	47.28	330	854	38.64	464	634	73.19	2,670	80.91	303	808	1,111	33.67	455	343	210	77	602	18
463	Nebraska	34	6824:59	862	2,016	42.76	258	762	33.86	452	650	69.54	2,434	71.59	357	847	1,204	35.41	431	330	249	147	548	28	34	6825:00	820	1,966	41.71	215	658	32.67	402	572	70.28	2,257	66.38	396	902	1,298	38.18	389	454	167	126	593	28
465	UNLV	31	6249:59	791	1,852	42.71	251	745	33.69	443	647	68.47	2,276	73.42	411	792	1,203	38.81	399	402	184	115	556	20	31	6249:34	813	1,810	44.92	220	617	35.66	396	572	69.23	2,242	72.32	303	747	1,050	33.87	402	381	196	76	585	20
464	Omaha	32	6447:59	950	1,998	47.55	282	719	39.22	341	473	72.09	2,523	78.84	273	774	1,047	32.72	409	304	180	61	486	6	32	6449:00	890	1,896	46.94	302	834	36.21	372	499	74.55	2,454	76.69	260	823	1,083	33.84	432	389	148	110	493	6
466	Nevada	33	6600:00	905	1,944	46.55	292	831	35.14	560	791	70.80	2,662	80.67	307	926	1,233	37.36	494	338	204	129	563	5	33	6599:59	791	1,933	40.92	258	773	33.38	358	533	67.17	2,200	66.67	303	852	1,155	35.00	412	451	150	80	698	5
469	New Hampshire	29	5799:59	623	1,656	37.62	261	787	33.16	235	385	61.04	1,742	60.07	260	727	987	34.03	325	356	116	53	533	6	29	5800:00	688	1,552	44.33	198	595	33.28	416	596	69.80	1,990	68.62	226	854	1,080	37.24	288	339	156	75	453	6
14927	Belmont	31	6251:00	987	1,976	49.95	325	871	37.31	411	557	73.79	2,710	87.42	277	928	1,205	38.87	616	361	212	117	482	8	31	6251:00	837	1,971	42.47	240	700	34.29	376	536	70.15	2,290	73.87	288	798	1,086	35.03	377	387	190	111	512	8
663	SMU	32	6400:00	833	1,884	44.21	263	772	34.07	374	523	71.51	2,303	71.97	375	766	1,141	35.66	441	351	189	123	515	28	32	6400:00	793	1,853	42.80	267	761	35.09	396	547	72.39	2,249	70.28	354	747	1,101	34.41	493	371	155	86	502	28
368	UMass Lowell	32	6450:00	875	1,852	47.25	246	721	34.12	460	639	71.99	2,456	76.75	296	819	1,115	34.84	500	447	181	85	591	17	32	6450:00	879	1,946	45.17	215	692	31.07	447	632	70.73	2,420	75.62	345	780	1,125	35.16	411	419	230	111	616	17
660	SIUE	31	6399:59	794	1,898	41.83	201	665	30.23	476	677	70.31	2,265	73.06	351	731	1,082	34.90	382	438	198	70	612	20	31	6400:00	893	1,814	49.23	249	675	36.89	485	691	70.19	2,520	81.29	288	874	1,162	37.48	469	441	222	93	592	20
667	Southern Utah	32	6474:59	838	1,887	44.41	260	752	34.57	490	686	71.43	2,426	75.81	273	890	1,163	36.34	404	438	192	103	661	5	32	6474:00	817	1,890	43.23	267	739	36.13	522	733	71.21	2,423	75.72	288	876	1,164	36.38	413	425	213	118	637	5
665	Southern U.	32	6424:00	752	1,710	43.98	180	544	33.09	393	588	66.84	2,077	64.91	316	665	981	30.66	372	510	216	86	716	3	32	6424:59	792	1,648	48.06	219	591	37.06	557	807	69.02	2,360	73.75	327	740	1,067	33.34	410	489	203	106	565	3
664	Southern Miss.	32	6449:59	877	1,876	46.75	265	683	38.80	307	469	65.46	2,326	72.69	274	877	1,151	35.97	540	338	248	109	496	3	32	6451:00	727	1,822	39.90	278	845	32.90	336	524	64.12	2,068	64.62	324	816	1,140	35.62	390	426	176	92	466	3
363	Longwood	32	6578:00	742	1,755	42.28	302	878	34.40	442	605	73.06	2,228	69.62	275	858	1,133	35.41	364	459	198	68	591	4	32	6577:00	748	1,818	41.14	302	900	33.56	443	585	75.73	2,243	70.09	284	815	1,099	34.34	426	412	186	106	563	4
669	Missouri St.	32	6424:59	774	1,714	45.16	224	649	34.51	434	627	69.22	2,206	68.94	271	729	1,000	31.25	354	385	221	127	542	5	32	6426:00	749	1,656	45.23	240	610	39.34	419	585	71.62	2,157	67.41	247	766	1,013	31.66	389	460	183	96	595	5
361	LIU Brooklyn	32	6424:59	822	1,880	43.72	277	813	34.07	452	643	70.30	2,373	74.16	329	867	1,196	37.38	430	472	218	157	610	17	32	6426:00	823	1,944	42.34	209	634	32.97	482	680	70.88	2,337	73.03	362	829	1,191	37.22	402	436	221	119	591	17
366	Louisiana Tech	33	6675:00	840	1,928	43.57	253	756	33.47	453	690	65.65	2,386	72.30	368	835	1,203	36.45	440	385	190	115	535	4	33	6675:00	804	1,882	42.72	245	737	33.24	382	555	68.83	2,235	67.73	322	853	1,175	35.61	453	439	185	114	612	4
367	Louisville	33	6699:59	828	1,908	43.40	285	834	34.17	519	670	77.46	2,460	74.55	338	924	1,262	38.24	442	409	147	98	570	27	33	6699:59	790	1,950	40.51	228	720	31.67	430	617	69.69	2,238	67.82	321	820	1,141	34.58	382	375	193	114	637	27
365	LSU	32	6575:00	912	1,975	46.18	219	678	32.30	561	744	75.40	2,604	81.38	432	809	1,241	38.78	420	423	291	138	598	1	32	6575:00	821	1,884	43.58	251	736	34.10	444	645	68.84	2,337	73.03	353	725	1,078	33.69	363	480	210	95	631	1
30024	Utah Valley	33	6600:00	879	1,812	48.51	268	697	38.45	522	720	72.50	2,548	77.21	290	893	1,183	35.85	455	447	192	83	580	23	33	6600:00	831	1,948	42.66	247	702	35.19	415	579	71.68	2,324	70.42	301	753	1,054	31.94	424	391	224	89	655	23
2678	Ark.-Pine Bluff	32	6499:59	719	1,685	42.67	194	574	33.80	476	702	67.81	2,108	65.88	320	743	1,063	33.22	365	478	216	109	629	2	32	6500:00	779	1,713	45.48	201	566	35.51	510	756	67.46	2,269	70.91	322	768	1,090	34.06	434	442	240	106	608	2
1320	Presbyterian	33	6625:59	888	1,971	45.05	361	945	38.20	464	637	72.84	2,601	78.82	311	835	1,146	34.73	518	326	193	67	566	4	33	6626:59	837	1,869	44.78	283	796	35.55	432	618	69.90	2,389	72.39	297	863	1,160	35.15	416	444	152	84	548	4
786	William & Mary	31	6324:59	841	1,773	47.43	254	735	34.56	385	576	66.84	2,321	74.87	256	803	1,059	34.16	529	392	158	146	517	21	31	6324:59	852	1,862	45.76	255	682	37.39	426	559	76.21	2,385	76.94	281	779	1,060	34.19	413	339	209	83	519	21
782	Wichita St.	33	6625:00	828	2,037	40.65	247	797	30.99	430	592	72.64	2,333	70.70	412	835	1,247	37.79	452	393	158	111	638	23	33	6625:00	774	1,839	42.09	231	684	33.77	504	733	68.76	2,283	69.18	319	843	1,162	35.21	381	415	161	130	563	23
576	Rider	31	6225:00	847	1,893	44.74	222	651	34.10	465	755	61.59	2,381	76.81	369	776	1,145	36.94	450	416	282	101	592	22	31	6225:00	814	1,774	45.89	276	770	35.84	429	638	67.24	2,333	75.26	293	833	1,126	36.32	470	528	188	113	644	22
108	UC Davis	31	6299:59	735	1,673	43.93	203	619	32.79	365	515	70.87	2,038	65.74	222	706	928	29.94	375	412	196	71	597	8	31	6299:59	746	1,635	45.63	210	616	34.09	426	622	68.49	2,128	68.65	275	794	1,069	34.48	390	453	198	99	571	8
574	Rice	32	6524:00	795	1,867	42.58	277	797	34.76	500	729	68.59	2,367	73.97	318	906	1,224	38.25	425	439	171	104	568	6	32	6524:25	891	1,987	44.84	270	782	34.53	429	596	71.98	2,481	77.53	288	874	1,162	36.31	463	363	200	108	627	6
572	Rhode Island	33	6671:12	821	1,914	42.89	172	615	27.97	479	704	68.04	2,293	69.48	378	816	1,194	36.18	401	405	235	129	586	19	33	6674:59	774	1,818	42.57	221	685	32.26	470	649	72.42	2,239	67.85	317	823	1,140	34.55	407	461	191	115	610	19
102	Sacramento St.	31	6250:00	806	1,800	44.78	175	527	33.21	410	592	69.26	2,197	70.87	308	743	1,051	33.90	431	404	239	104	566	3	31	6250:00	742	1,676	44.27	228	635	35.91	443	595	74.45	2,155	69.52	271	782	1,053	33.97	408	474	205	115	598	3
101	CSUN	33	6674:59	936	2,025	46.22	227	620	36.61	418	656	63.72	2,517	76.27	347	833	1,180	35.76	491	405	209	151	616	5	33	6675:00	924	2,069	44.66	283	739	38.29	478	648	73.77	2,609	79.06	396	877	1,273	38.58	482	404	200	103	611	5
107	California	31	6225:00	739	1,735	42.59	207	592	34.97	436	603	72.31	2,121	68.42	249	652	901	29.06	335	354	227	99	574	24	31	6225:00	836	1,708	48.95	272	714	38.10	443	617	71.80	2,387	77.00	299	820	1,119	36.10	462	436	154	100	548	24
579	Robert Morris	33	6674:33	799	1,846	43.28	257	725	35.45	425	609	69.79	2,280	69.09	347	755	1,102	33.39	454	489	238	85	658	28	33	6675:00	759	1,718	44.18	213	639	33.33	506	687	73.65	2,237	67.79	293	795	1,088	32.97	365	514	213	97	605	28
735	Valparaiso	33	6676:25	802	1,783	44.98	185	585	31.62	416	595	69.92	2,205	66.82	294	819	1,113	33.73	431	436	202	101	546	20	33	6674:59	788	1,822	43.25	214	645	33.18	397	564	70.39	2,187	66.27	296	787	1,083	32.82	400	420	226	95	555	20
